LECROYMCM-Zi-A 70631 Waveform
Segments 1 SegmentSize 40002
Segment TrigTime TimeSinceSegment1
#1 25-Jan-2024 10:03:40 0                 
Time Ampl
1.8225018e-007 0.00752563
1.8226268e-007 0.0105774
1.8227518e-007 0.0122314
1.8228768e-007 0.0095459
1.8230018e-007 0.00646362
1.8231268e-007 0.00563965
1.8232518e-007 0.00587158
1.8233768e-007 0.00344238
1.8235018e-007 0.00764771
1.8236268e-007 0.00876465
1.8237518e-007 0.00784302
1.8238768e-007 0.00750732
1.8240018e-007 0.0112488
1.8241268e-007 0.00560913
1.8242518e-007 0.00742188
1.8243768e-007 0.00661621
1.8245018e-007 0.0076355
1.8246268e-007 0.0117676
1.8247518e-007 0.0142334
1.8248768e-007 0.0250366
1.8250018e-007 0.0395996
1.8251268e-007 0.0589661
1.8252518e-007 0.0471558
1.8253768e-007 0.00969849
1.8255018e-007 0.00128174
1.8256268e-007 0.00799561
1.8257518e-007 -0.097644
1.8258768e-007 -0.154913
1.8260018e-007 -0.0614929
1.8261268e-007 -0.00929565
1.8262518e-007 0.0285034
1.8263768e-007 0.0541504
1.8265018e-007 0.0541992
1.8266268e-007 0.0545471
1.8267518e-007 0.0460144
1.8268768e-007 0.0528015
1.8270018e-007 0.0485413
1.8271268e-007 -0.0164978
1.8272518e-007 -0.0676209
1.8273768e-007 -0.0693909
1.8275018e-007 -0.137604
1.8276268e-007 -0.110132
1.8277518e-007 -0.0333069
1.8278768e-007 -0.00394287
1.8280018e-007 0.018396
1.8281268e-007 0.0206238
1.8282518e-007 0.0276672
1.8283768e-007 0.0232056
1.8285018e-007 0.0200439
1.8286268e-007 0.00667725
1.8287518e-007 0.00956421
1.8288768e-007 0.00482178
1.8290018e-007 0.0098999
1.8291268e-007 0.0150757
1.8292518e-007 0.0146912
1.8293768e-007 0.0295776
1.8295018e-007 0.0462646
1.8296268e-007 0.0562561
1.8297518e-007 0.0446289
1.8298768e-007 0.0128052
1.8300018e-007 0.0130798
1.8301268e-007 -0.00202026
1.8302518e-007 -0.122186
1.8303768e-007 -0.151617
1.8305018e-007 -0.0450134
1.8306268e-007 0.0156494
1.8307518e-007 0.0560303
1.8308768e-007 0.0500183
1.8310018e-007 -0.0151001
1.8311268e-007 -0.0403442
1.8312518e-007 -0.00857544
1.8313768e-007 0.0322754
1.8315018e-007 0.017688
1.8316268e-007 -0.069989
1.8317518e-007 -0.0995178
1.8318768e-007 -0.0368958
1.8320018e-007 0.00240479
1.8321268e-007 0.0346802
1.8322518e-007 0.0477539
1.8323768e-007 0.0554626
1.8325018e-007 0.0386353
1.8326268e-007 0.0280518
1.8327518e-007 0.0451172
1.8328768e-007 -0.000756836
1.8330018e-007 -0.119153
1.8331268e-007 -0.115295
1.8332518e-007 -0.0235413
1.8333768e-007 0.0020752
1.8335018e-007 -0.027533
1.8336268e-007 -0.0628967
1.8337518e-007 -0.0337402
1.8338768e-007 -0.0078186
1.8340018e-007 0.0132629
1.8341268e-007 0.0107544
1.8342518e-007 0.0118469
1.8343768e-007 0.0206665
1.8345018e-007 0.0146484
1.8346268e-007 0.0127869
1.8347518e-007 0.0123901
1.8348768e-007 0.0119141
1.8350018e-007 0.0179199
1.8351268e-007 0.0290405
1.8352518e-007 0.0455261
1.8353768e-007 0.0545044
1.8355018e-007 0.0399902
1.8356268e-007 0.00950317
1.8357518e-007 0.0109924
1.8358768e-007 -0.0117126
1.8360018e-007 -0.137689
1.8361268e-007 -0.133484
1.8362518e-007 -0.0381287
1.8363768e-007 0.0172607
1.8365018e-007 0.0546509
1.8366268e-007 0.0561707
1.8367518e-007 0.0136169
1.8368768e-007 -0.0264099
1.8370018e-007 -0.00612183
1.8371268e-007 0.0223328
1.8372518e-007 -0.0135803
1.8373768e-007 -0.0963867
1.8375018e-007 -0.0845459
1.8376268e-007 -0.0255981
1.8377518e-007 0.00708008
1.8378768e-007 0.0248169
1.8380018e-007 0.0378906
1.8381268e-007 0.0523071
1.8382518e-007 0.0635071
1.8383768e-007 0.0593506
1.8385018e-007 0.0390442
1.8386268e-007 0.0441589
1.8387518e-007 0.0306763
1.8388768e-007 -0.0755737
1.8390018e-007 -0.126129
1.8391268e-007 -0.0837463
1.8392518e-007 -0.0994202
1.8393768e-007 -0.0715881
1.8395018e-007 -0.0214844
1.8396268e-007 0.00768433
1.8397518e-007 0.0217773
1.8398768e-007 0.0223083
1.8400018e-007 0.0254456
1.8401268e-007 0.0166138
1.8402518e-007 0.0187256
1.8403768e-007 0.013269
1.8405018e-007 0.0114014
1.8406268e-007 0.0102112
1.8407518e-007 0.00973511
1.8408768e-007 0.00583496
1.8410018e-007 0.00608521
1.8411268e-007 0.0141174
1.8412518e-007 0.0234253
1.8413768e-007 0.0350769
1.8415018e-007 0.0561096
1.8416268e-007 0.0547913
1.8417518e-007 0.0255554
1.8418768e-007 0.000256348
1.8420018e-007 0.00704956
1.8421268e-007 -0.0536743
1.8422518e-007 -0.150983
1.8423768e-007 -0.101587
1.8425018e-007 -0.0220703
1.8426268e-007 0.0109619
1.8427518e-007 0.0427246
1.8428768e-007 0.0563232
1.8430018e-007 0.0647705
1.8431268e-007 0.0524414
1.8432518e-007 0.0350098
1.8433768e-007 0.0406311
1.8435018e-007 0.00673218
1.8436268e-007 -0.10946
1.8437518e-007 -0.124921
1.8438768e-007 -0.0426697
1.8440018e-007 -0.017334
1.8441268e-007 -0.02771
1.8442518e-007 -0.0456299
1.8443768e-007 -0.0235046
1.8445018e-007 -0.00339355
1.8446268e-007 0.0121277
1.8447518e-007 0.0201538
1.8448768e-007 0.0193604
1.8450018e-007 0.0147461
1.8451268e-007 0.0179871
1.8452518e-007 0.0190918
1.8453768e-007 0.0225586
1.8455018e-007 0.0453979
1.8456268e-007 0.055481
1.8457518e-007 0.0493835
1.8458768e-007 0.00894165
1.8460018e-007 -0.00452271
1.8461268e-007 -0.00418701
1.8462518e-007 -0.0710754
1.8463768e-007 -0.129529
